Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,640,0,-2.1182532181,1.5559641067,0.0,0.1245169518,-2.1182532181,1.0015649452,1.0007821667,-0.2837431353,-1.0423111638,0.0,0,0.0001561349,0
feature_1,float64,640,0,-2.1385978747,1.5579517827,-0.0,0.0851566853,-2.1385978747,1.0015649452,1.0007821667,-0.2914824318,-1.0010083265,0.0,0,0.0015569572,0
feature_2,float64,640,0,-2.1216766932,1.5346097401,0.0,0.1328722946,-2.1216766932,1.0015649452,1.0007821667,-0.3231780288,-1.0385614283,0.0,0,5.52437e-05,0
feature_3,float64,640,0,-2.0446195621,1.5488800983,-0.0,0.1691927294,-2.0446195621,1.0015649452,1.0007821667,-0.3598450021,-1.009083276,0.0,0,0.000165089,0
feature_4,float64,640,0,-2.1868013608,1.5365665198,-0.0,0.1270208844,-2.1868013608,1.0015649452,1.0007821667,-0.2674782212,-1.0209992503,0.0,0,0.001075543,0
feature_5,float64,640,0,-2.1100936265,1.5341121039,-0.0,0.1419222979,-2.1100936265,1.0015649452,1.0007821667,-0.2686787991,-1.0899132918,0.0,0,0.0006473519,0
feature_6,float64,640,0,-2.1458485902,1.5480719468,0.0,0.111273767,-2.1458485902,1.0015649452,1.0007821667,-0.2825510262,-0.9938458237,0.0,0,0.0025110142,0
feature_7,float64,640,0,-2.1950748293,1.5786501576,-0.0,0.0139626689,-2.1950748293,1.0015649452,1.0007821667,-0.2525257311,-0.9016253116,0.0,0,0.0225926692,0
feature_8,float64,640,0,-2.1383030426,1.6079127617,-0.0,0.0675184812,-2.1383030426,1.0015649452,1.0007821667,-0.2541415696,-0.976387769,0.0,0,0.0070257752,0
feature_9,float64,640,0,-2.1703779014,1.5402581296,-0.0,0.1316184903,-2.1703779014,1.0015649452,1.0007821667,-0.2685382984,-1.0394895711,0.0,0,0.0035364907,0
feature_10,float64,640,0,-2.104783695,1.4895135892,-0.0,0.1160268467,-2.104783695,1.0015649452,1.0007821667,-0.3142845439,-1.0801575972,0.0,0,6.54417e-05,0
feature_11,float64,640,0,-1.8905302454,1.611551766,0.0,0.0741902999,-1.8905302454,1.0015649452,1.0007821667,-0.1454897975,-1.1340926363,0.0,0,0.0049214164,0
feature_12,float64,640,0,-2.1543204411,1.604152948,0.0,0.0890170479,-2.1543204411,1.0015649452,1.0007821667,-0.277299734,-0.9670816225,0.0,0,0.0160658168,0
feature_13,float64,640,0,-2.1692447212,1.5341382826,-0.0,0.1177313715,-2.1692447212,1.0015649452,1.0007821667,-0.2405060599,-1.0737361925,0.0,0,0.0026812378,0
feature_14,float64,640,0,-2.0346288684,1.6261986568,-0.0,0.0393167156,-2.0346288684,1.0015649452,1.0007821667,-0.2454332973,-1.0234759694,0.0,0,0.0014674354,0
feature_15,float64,640,0,-2.1217819593,1.5378600551,-0.0,0.0871511631,-2.1217819593,1.0015649452,1.0007821667,-0.2694493504,-1.0530066674,0.0,0,0.0021981098,0
feature_16,float64,640,0,-2.1618131783,1.6095697874,0.0,0.0419278991,-2.1618131783,1.0015649452,1.0007821667,-0.2292226842,-0.9815341555,0.0,0,0.0041469065,0
feature_17,float64,640,0,-2.1016066032,1.5384267591,-0.0,0.1482494793,-2.1016066032,1.0015649452,1.0007821667,-0.2770805531,-1.0706146861,0.0,0,0.0014797025,0
feature_18,float64,640,0,-2.0150301963,1.5334716806,-0.0,0.1501961487,-2.0150301963,1.0015649452,1.0007821667,-0.2797223019,-1.0854030946,0.0,0,0.0031690495,0
feature_19,float64,640,0,-2.0970205994,1.5709941645,0.0,0.1267302876,-2.0970205994,1.0015649452,1.0007821667,-0.3210182818,-0.9955423165,0.0,0,0.0020628513,0
target,float64,640,0,-2.8189624507,2.4552936731,-0.0,0.0148773593,-2.8189624507,1.0015649452,1.0007821667,-0.0701124893,-0.5251882648,0.0141123046,0,0.4080302948,1
